Timestamp,What region do you attend university,What is your field of study?,What academic level are you at?,What is your gender?,"How many AI tools do you use regularly? (ChatGPT, Gemini, Claude, Copilot, etc.)",How many hours per day do you spend using AI tools?,For which academic tasks do you use AI? (select all that apply),How often do you verify what an AI tool tells you before using it?,How confident are you completing academic tasks without AI?,Have you submitted AI-generated content as your own work without major edits?,Do you feel anxious or stuck when AI tools are unavailable?,How much do you trust AI output without checking the source?,How well do you understand the limitations of AI tools?,Has your university given any guidance on responsible AI use?
2025-01-15 00:00:00,Bamenda,Sciences,300L,Female,2,Less than 1hr,Assignments,3,1,Once or twice,4,2,2,no
2025-01-15 00:47:00,Other,Law,300L,Male,2,1-2hrs,Research,2,3,Once or twice,1,5,4,not sure
2025-01-15 01:34:00,Yaounde,Social Sciences,300L,Male,3,5hrs or more,Assignments,4,2,Never,1,3,2,no
2025-01-15 02:21:00,Yaounde,Sciences,400L,Male,3,5hrs or more,Assignments,5,4,Often,5,1,3,no
2025-01-15 03:08:00,Buea,Other,100L,Female,0,1-2hrs,Coding,3,1,Sometimes,1,3,3,no
2025-01-15 03:55:00,Buea,Law,100L,Male,1,Less than 1hr,Summarising notes,4,4,Never,4,1,3,not sure
2025-01-15 04:42:00,Buea,Engineering,200L,Male,3,5hrs or more,Assignments,5,3,Once or twice,5,4,2,no
2025-01-15 05:29:00,Douala,Engineering,200L,Female,3,1-2hrs,Assignments,5,1,Never,2,3,3,no
2025-01-15 06:16:00,Yaounde,Engineering,400L,Female,4 or more,3-4hrs,Assignments,2,5,Often,3,3,4,yes
2025-01-15 07:03:00,Yaounde,Engineering,200L,Male,3,5hrs or more,Exam prep,5,3,Never,4,4,3,not sure
2025-01-15 07:50:00,Buea,Engineering,PhD,Female,4 or more,Less than 1hr,Other,3,2,Sometimes,5,5,3,yes
2025-01-15 08:37:00,Other,Engineering,200L,Male,3,3-4hrs,Assignments,3,2,Never,5,4,4,no
2025-01-15 09:24:00,Douala,Engineering,200L,Male,2,Less than 1hr,Assignments,1,4,Sometimes,4,3,4,no
2025-01-15 10:11:00,Buea,Engineering,400L,Male,1,1-2hrs,Exam prep,3,2,Sometimes,1,5,3,no
2025-01-15 10:58:00,Buea,Business,300L,Male,4 or more,5hrs or more,Exam prep,2,1,Sometimes,4,5,2,no
2025-01-15 11:45:00,Buea,Engineering,300L,Female,3,3-4hrs,Research,3,1,Sometimes,3,2,5,yes
2025-01-15 12:32:00,Bamenda,Social Sciences,300L,Male,0,5hrs or more,Assignments,3,2,Often,3,4,3,no
2025-01-15 13:19:00,Bamenda,Sciences,400L,Male,2,3-4hrs,Assignments,5,4,Never,1,3,2,not sure
2025-01-15 14:06:00,Bamenda,Other,200L,Female,4 or more,1-2hrs,Summarising notes,5,2,Once or twice,2,1,2,not sure
2025-01-15 14:53:00,Buea,Engineering,PhD,Female,3,1-2hrs,Research,3,2,Never,4,4,4,yes
2025-01-15 15:40:00,Yaounde,Sciences,PhD,Male,2,1-2hrs,Assignments,5,1,Often,3,5,1,not sure
2025-01-15 16:27:00,Buea,Other,300L,Female,2,1-2hrs,Summarising notes,5,2,Once or twice,3,2,5,no
2025-01-15 17:14:00,Buea,Business,200L,Male,2,Less than 1hr,Assignments,4,5,Sometimes,3,5,2,not sure
2025-01-15 18:01:00,Bamenda,Business,400L,Female,2,1-2hrs,Coding,2,2,Sometimes,5,5,4,no
2025-01-15 18:48:00,Bamenda,Engineering,100L,Female,2,3-4hrs,Research,4,5,Never,4,5,3,no
2025-01-15 19:35:00,Douala,Engineering,100L,Female,1,3-4hrs,Assignments,5,2,Never,2,3,3,not sure
2025-01-15 20:22:00,Buea,Law,200L,Male,3,3-4hrs,Summarising notes,4,1,Never,2,5,5,not sure
2025-01-15 21:09:00,Bamenda,Other,300L,Male,2,3-4hrs,Research,3,4,Once or twice,2,3,3,no
2025-01-15 21:56:00,Yaounde,Social Sciences,400L,Male,4 or more,Less than 1hr,Other,4,2,Never,5,4,3,no
2025-01-15 22:43:00,Buea,Social Sciences,400L,Male,4 or more,1-2hrs,Summarising notes,4,3,Never,4,1,1,no
2025-01-15 23:30:00,Yaounde,Engineering,400L,Male,2,3-4hrs,Research,4,5,Often,3,1,1,no
2025-01-16 00:17:00,Buea,Health,300L,Female,3,3-4hrs,Coding,2,1,Often,4,4,2,no
